ts,gpu_edge_c,cpu_c,batt_c,fan_rpm,gpu_busy_pct,sclk,cpu_mhz_max,load1
2026-09-13T22:56:14Z,75,75,30,5165,99,1413,2424,0.17
2026-09-13T22:56:16Z,74,76,30,5179,99,1315,1399,0.16
2026-09-13T22:56:18Z,74,76,30,5136,100,1600,2426,0.16
2026-09-13T22:56:20Z,74,76,30,5165,100,1600,1590,0.16
2026-09-13T22:56:22Z,75,76,30,5179,99,1537,1702,0.15
2026-09-13T22:56:24Z,72,76,30,5179,100,1464,1702,0.15
2026-09-13T22:56:27Z,72,75,30,5179,99,1469,1702,0.14
2026-09-13T22:56:29Z,69,75,30,5179,100,1139,2424,0.14
2026-09-13T22:56:31Z,77,75,30,5179,100,1350,1702,0.14
2026-09-13T22:56:33Z,75,75,30,5208,100,1313,2424,0.12
2026-09-13T22:56:35Z,75,76,30,5165,100,1600,1702,0.12
2026-09-13T22:56:37Z,75,76,30,5208,99,1600,2424,0.11
2026-09-13T22:56:39Z,75,76,30,5165,100,1383,1702,0.11
2026-09-13T22:56:41Z,76,76,30,5252,99,1345,1400,0.18
2026-09-13T22:56:43Z,76,76,30,5281,100,1368,1702,0.18
2026-09-13T22:56:45Z,73,76,30,5281,100,1600,1702,0.18
2026-09-13T22:56:47Z,72,76,30,5281,100,1509,1702,0.17
2026-09-13T22:56:49Z,74,76,30,5237,100,1364,1702,0.17
2026-09-13T22:56:51Z,66,75,30,5281,0,200,2424,0.24
2026-09-13T22:56:53Z,76,75,30,5252,99,1345,1702,0.24
2026-09-13T22:56:55Z,76,76,30,5281,99,1480,1702,0.24
2026-09-13T22:56:58Z,76,76,30,5281,100,1363,1702,0.22
2026-09-13T22:57:00Z,75,76,30,5281,99,1336,1702,0.22
2026-09-13T22:57:02Z,76,76,30,5237,100,1600,2424,0.20
2026-09-13T22:57:04Z,76,76,30,5281,100,1550,1399,0.20
2026-09-13T22:57:06Z,76,76,30,5281,99,1600,1702,0.20
2026-09-13T22:57:08Z,76,76,30,5281,99,1473,1702,0.18
2026-09-13T22:57:10Z,73,76,30,5281,99,1467,1702,0.18
2026-09-13T22:57:12Z,74,76,30,5281,99,1591,1399,0.17
2026-09-13T22:57:14Z,74,75,30,5281,99,1476,1702,0.17
2026-09-13T22:57:16Z,76,75,30,5281,99,1376,1702,0.16
2026-09-13T22:57:18Z,75,76,30,5281,100,1600,2344,0.16
2026-09-13T22:57:20Z,75,76,30,5281,100,1546,1400,0.16
2026-09-13T22:57:22Z,76,76,30,5281,100,1600,1702,0.14
2026-09-13T22:57:24Z,76,76,30,5281,100,1335,1702,0.14
2026-09-13T22:57:27Z,74,76,30,5281,99,1309,1702,0.13
2026-09-13T22:57:29Z,77,77,30,5281,100,1361,1702,0.13
2026-09-13T22:57:31Z,73,76,30,5281,100,1600,1702,0.13
2026-09-13T22:57:33Z,75,77,30,5281,100,1415,2425,0.12
2026-09-13T22:57:35Z,73,76,30,5281,99,1445,1399,0.12
2026-09-13T22:57:37Z,73,76,30,5281,0,1510,1400,0.11
2026-09-13T22:57:39Z,76,75,30,5281,100,1600,1400,0.11
2026-09-13T22:57:41Z,76,76,30,5281,100,1373,1702,0.10
2026-09-13T22:57:43Z,76,76,30,5281,99,1524,1401,0.10
2026-09-13T22:57:45Z,76,76,30,5281,100,1519,1400,0.10
2026-09-13T22:57:47Z,76,76,30,5281,100,1433,1702,0.17
2026-09-13T22:57:49Z,75,76,30,5281,99,1310,1702,0.17
2026-09-13T22:57:51Z,75,76,30,5311,25,1170,2424,0.24
2026-09-13T22:57:53Z,76,76,30,5281,100,1600,1702,0.24
2026-09-13T22:57:56Z,76,76,30,5281,99,1523,1400,0.24
2026-09-13T22:57:58Z,74,76,30,5281,99,1508,1702,0.30
2026-09-13T22:58:00Z,73,76,30,5281,99,1447,1399,0.30
2026-09-13T22:58:02Z,75,75,30,5281,99,1600,1702,0.44
2026-09-13T22:58:04Z,73,75,30,5281,99,1466,1702,0.44
2026-09-13T22:58:06Z,77,76,30,5281,100,1396,1702,0.40
2026-09-13T22:58:08Z,76,76,30,5281,99,1600,1702,0.40
2026-09-13T22:58:10Z,76,76,30,5281,100,1551,1702,0.40
2026-09-13T22:58:12Z,76,77,30,5281,99,1466,1702,0.37
2026-09-13T22:58:14Z,75,77,30,5311,99,1230,2424,0.37
2026-09-13T22:58:16Z,76,77,30,5281,100,1336,1702,0.34
2026-09-13T22:58:18Z,75,77,30,5281,99,1600,1702,0.34
2026-09-13T22:58:20Z,74,76,30,5281,99,1347,1400,0.34
2026-09-13T22:58:22Z,73,76,30,5281,100,1430,1702,0.39
2026-09-13T22:58:25Z,71,75,30,5281,100,1428,2426,0.39
2026-09-13T22:58:27Z,72,75,30,5281,99,1600,1702,0.36
2026-09-13T22:58:29Z,73,76,30,5281,100,1600,1702,0.36
2026-09-13T22:58:31Z,76,76,30,5281,100,1388,1399,0.36
2026-09-13T22:58:33Z,76,76,30,5281,99,1469,2424,0.33
2026-09-13T22:58:35Z,78,77,30,5311,99,1358,1702,0.33
2026-09-13T22:58:37Z,76,77,30,5281,100,1321,2399,0.31
2026-09-13T22:58:39Z,72,77,30,5311,99,1600,1702,0.31
2026-09-13T22:58:41Z,75,77,30,5281,100,1586,1702,0.28
2026-09-13T22:58:43Z,73,76,30,5311,99,1415,1702,0.28
2026-09-13T22:58:45Z,73,76,30,5281,99,1458,1702,0.28
2026-09-13T22:58:47Z,65,75,30,5281,0,200,2425,0.26
2026-09-13T22:58:49Z,75,75,30,5281,100,1600,1702,0.26
2026-09-13T22:58:51Z,75,76,30,5326,100,1600,1702,0.24
2026-09-13T22:58:53Z,76,76,30,5281,100,1600,1399,0.24
2026-09-13T22:58:56Z,76,76,30,5281,99,1375,2086,0.24
2026-09-13T22:58:58Z,76,77,30,5326,99,1348,1702,0.30
2026-09-13T22:59:00Z,75,77,30,5281,99,1316,1702,0.30
2026-09-13T22:59:02Z,78,77,30,5326,99,1393,1702,0.27
2026-09-13T22:59:04Z,72,77,30,5326,99,1416,1702,0.27
2026-09-13T22:59:06Z,73,77,30,5311,100,1371,1702,0.33
2026-09-13T22:59:08Z,74,76,30,5311,100,1441,1702,0.33
2026-09-13T22:59:10Z,73,75,30,5281,100,1430,1702,0.33
2026-09-13T22:59:12Z,76,75,30,5281,99,1349,1702,0.31
2026-09-13T22:59:14Z,78,76,30,5311,99,1364,1702,0.31
2026-09-13T22:59:16Z,72,76,30,5281,100,1600,1702,0.28
2026-09-13T22:59:18Z,72,76,30,5281,100,1525,1702,0.28
2026-09-13T22:59:20Z,76,77,30,5281,100,1459,1702,0.28
2026-09-13T22:59:22Z,77,77,30,5326,99,1477,1702,0.26
2026-09-13T22:59:25Z,76,77,30,5311,99,1351,1702,0.26
2026-09-13T22:59:27Z,79,77,30,5281,99,1397,1702,0.24
2026-09-13T22:59:29Z,74,77,30,5311,99,1274,2424,0.24
2026-09-13T22:59:31Z,74,76,30,5281,99,1418,1702,0.24
2026-09-13T22:59:33Z,74,76,30,5281,99,1503,1702,0.22
2026-09-13T22:59:35Z,74,75,30,5281,99,1302,1702,0.22
2026-09-13T22:59:37Z,76,76,30,5281,99,1381,1702,0.20
2026-09-13T22:59:39Z,72,76,30,5326,100,1423,1702,0.20
2026-09-13T22:59:41Z,76,77,30,5281,99,1311,1702,0.18
2026-09-13T22:59:43Z,76,77,30,5281,99,1600,1702,0.18
2026-09-13T22:59:45Z,76,77,30,5326,99,1397,1702,0.18
2026-09-13T22:59:47Z,69,77,30,5281,99,1251,2424,0.17
2026-09-13T22:59:49Z,78,77,30,5326,100,1393,1702,0.17
2026-09-13T22:59:51Z,71,77,30,5326,99,1377,1702,0.16
2026-09-13T22:59:54Z,74,76,30,5281,100,1585,1399,0.16
2026-09-13T22:59:56Z,73,76,30,5281,99,1469,1702,0.16
2026-09-13T22:59:58Z,75,75,30,5281,99,1336,1702,0.14
2026-09-13T23:00:00Z,76,76,30,5281,100,1460,1702,0.14
2026-09-13T23:00:02Z,76,76,30,5326,100,1338,1702,0.13
2026-09-13T23:00:04Z,75,76,30,5281,100,1323,1702,0.13
2026-09-13T23:00:06Z,75,77,30,5281,100,1600,1557,0.20
2026-09-13T23:00:08Z,76,77,30,5326,100,1600,1702,0.20
2026-09-13T23:00:10Z,76,77,30,5281,100,1322,2424,0.20
2026-09-13T23:00:12Z,76,76,30,5281,100,1402,1702,0.18
2026-09-13T23:00:14Z,76,77,30,5311,99,1387,1702,0.18
2026-09-13T23:00:16Z,73,76,30,5311,99,1583,1399,0.17
2026-09-13T23:00:18Z,73,76,30,5281,100,1555,1702,0.17
2026-09-13T23:00:20Z,69,75,30,5311,99,1182,2424,0.17
2026-09-13T23:00:23Z,76,75,30,5311,99,1380,1702,0.16
2026-09-13T23:00:25Z,75,76,30,5326,99,1435,2424,0.16
2026-09-13T23:00:27Z,72,76,30,5281,100,1530,1399,0.14
2026-09-13T23:00:29Z,72,77,30,5281,99,1600,2424,0.14
2026-09-13T23:00:31Z,76,77,30,5281,100,1541,1702,0.14
2026-09-13T23:00:33Z,77,77,30,5281,99,1362,1702,0.13
2026-09-13T23:00:35Z,76,77,30,5326,99,1509,1702,0.13
2026-09-13T23:00:37Z,77,77,30,5281,100,1338,1702,0.12
2026-09-13T23:00:39Z,73,76,30,5326,100,1329,1400,0.12
2026-09-13T23:00:41Z,73,76,30,5281,99,1481,1702,0.11
2026-09-13T23:00:43Z,66,75,30,5311,0,200,2425,0.11
2026-09-13T23:00:45Z,76,75,30,5281,100,1349,1702,0.11
2026-09-13T23:00:47Z,76,76,30,5326,100,1482,1400,0.10
2026-09-13T23:00:49Z,77,76,30,5281,99,1359,1702,0.10
2026-09-13T23:00:51Z,74,77,30,5281,99,1352,1399,0.09
2026-09-13T23:00:54Z,76,77,30,5311,99,1600,1702,0.09
2026-09-13T23:00:56Z,75,77,30,5281,100,1530,1702,0.09
2026-09-13T23:00:58Z,76,77,30,5281,100,1532,1702,0.17
2026-09-13T23:01:00Z,75,77,30,5311,99,1381,1702,0.17
2026-09-13T23:01:02Z,74,77,30,5326,99,1428,1702,0.15
2026-09-13T23:01:04Z,72,76,30,5281,99,1463,1400,0.15
2026-09-13T23:01:06Z,73,75,30,5326,99,1329,1399,0.22
2026-09-13T23:01:08Z,77,75,30,5281,100,1354,1702,0.22
2026-09-13T23:01:10Z,76,76,30,5281,100,1480,1401,0.22
2026-09-13T23:01:12Z,78,76,30,5311,100,1343,1702,0.28
2026-09-13T23:01:14Z,76,77,30,5281,99,1361,1702,0.28
2026-09-13T23:01:16Z,76,77,30,5281,100,1600,1702,0.26
2026-09-13T23:01:18Z,76,77,30,5281,99,1600,1702,0.26
2026-09-13T23:01:21Z,75,77,30,5281,99,1600,1702,0.26
2026-09-13T23:01:23Z,76,77,30,5326,100,1528,1702,0.24
2026-09-13T23:01:25Z,76,77,30,5281,100,1314,2424,0.24
2026-09-13T23:01:27Z,74,76,30,5326,99,1435,1399,0.30
2026-09-13T23:01:29Z,73,76,30,5281,100,1407,1400,0.30
2026-09-13T23:01:31Z,62,75,30,5311,0,200,2424,0.30
2026-09-13T23:01:33Z,59,73,30,5311,0,200,2424,0.28
2026-09-13T23:01:35Z,58,70,30,5326,19,1040,2425,0.28
2026-09-13T23:01:37Z,57,68,30,5281,24,1040,2424,0.49
2026-09-13T23:01:39Z,56,66,30,5281,0,200,2424,0.49
2026-09-13T23:01:41Z,55,65,30,4844,0,200,2425,1.10
2026-09-13T23:01:43Z,60,63,30,4261,100,1600,2424,1.10
2026-09-13T23:01:45Z,69,68,30,3964,100,1395,1702,1.10
2026-09-13T23:01:47Z,70,70,30,3571,100,1374,1702,1.01
2026-09-13T23:01:49Z,71,71,30,3571,99,1600,1399,1.01
2026-09-13T23:01:51Z,72,72,30,3787,99,1378,1702,0.93
2026-09-13T23:01:54Z,73,73,30,3997,99,1378,1702,0.93
2026-09-13T23:01:56Z,74,74,30,4213,100,1391,1702,0.93
2026-09-13T23:01:58Z,73,74,30,4391,100,1335,2424,0.85
2026-09-13T23:02:00Z,75,74,30,4550,99,1374,1399,0.85
2026-09-13T23:02:02Z,75,75,30,4783,99,1380,1702,0.78
2026-09-13T23:02:04Z,75,75,30,4844,99,1319,2424,0.78
2026-09-13T23:02:06Z,75,75,30,4973,100,1399,2035,0.78
2026-09-13T23:02:08Z,76,76,30,5165,100,1600,1702,0.72
2026-09-13T23:02:10Z,75,76,30,5252,100,1600,1702,0.72
2026-09-13T23:02:12Z,75,76,30,5252,99,1346,2424,0.66
2026-09-13T23:02:14Z,77,76,30,5281,100,1375,1702,0.66
2026-09-13T23:02:16Z,75,76,30,5237,100,1408,1702,0.61
2026-09-13T23:02:18Z,76,76,30,5237,99,1600,1702,0.61
2026-09-13T23:02:20Z,76,76,30,5237,99,1381,2424,0.61
2026-09-13T23:02:22Z,71,76,30,5252,99,1425,1702,0.64
2026-09-13T23:02:25Z,75,76,30,5252,100,1367,1399,0.64
2026-09-13T23:02:27Z,76,76,30,5281,100,1326,2427,0.59
2026-09-13T23:02:29Z,75,76,30,5237,100,1360,2424,0.59
2026-09-13T23:02:31Z,71,76,30,5281,100,1531,1702,0.59
2026-09-13T23:02:33Z,76,76,30,5281,100,1398,1702,0.54
2026-09-13T23:02:35Z,77,76,30,5281,100,1324,2424,0.54
2026-09-13T23:02:37Z,75,76,30,5281,100,1377,1400,0.50
2026-09-13T23:02:39Z,75,76,30,5237,100,1600,1702,0.50
2026-09-13T23:02:41Z,76,76,30,5281,99,1379,1702,0.46
2026-09-13T23:02:43Z,75,76,30,5281,100,1414,1702,0.46
2026-09-13T23:02:45Z,73,76,30,5281,100,1437,1399,0.46
2026-09-13T23:02:47Z,69,75,30,5281,99,1040,2424,0.42
2026-09-13T23:02:49Z,75,75,30,5281,99,1356,1399,0.42
