server,model,pp,tg,run,server_pp_tps,server_tg_tps,prompt_tokens,eval_tokens,acceptance,draft_len
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,12,34616.4,351.8,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,13,34504.2,347.71,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,14,34581.3,351.73,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,0,31558.3,341.94,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,1,33507.6,351.92,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,2,34511.5,353.79,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,3,34544.9,354.06,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,4,34686.6,352.21,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,5,34644.1,352.46,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,6,34655.8,352.58,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,7,34614.9,353.08,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,8,34625.0,352.71,8203,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,9,34555.1,350.17,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,10,34677.8,347.45,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,11,34612.0,353.65,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,12,34609.1,352.75,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,13,34647.1,352.58,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,14,34617.8,351.47,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,0,15125.8,362.2,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,1,18772.7,381.27,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,2,18851.4,382.0,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,3,19015.2,382.0,1035,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,4,19130.4,381.86,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,5,19130.4,382.04,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,6,18813.7,383.1,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,7,18951.6,382.91,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,8,19014.3,383.05,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,9,18941.2,382.96,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,10,19077.5,382.55,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,11,19070.5,383.65,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,12,19098.6,382.87,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,13,18982.9,384.06,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,14,19085.4,383.83,1035,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,0,15360.6,374.97,1035,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,1,19244.4,383.85,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,2,19337.3,385.15,1033,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,3,19273.1,385.03,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,4,19269.5,383.26,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,5,19212.2,384.18,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,6,19219.3,384.13,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,7,19122.5,384.18,1033,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,8,19172.2,384.38,1033,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,9,19323.5,384.38,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,10,19119.0,382.82,1033,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,11,19137.5,384.02,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,12,19291.7,384.82,1035,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,13,19163.9,383.9,1036,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,14,19226.5,384.34,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,0,21828.6,363.68,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,1,25388.6,380.91,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,2,25295.0,382.73,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,3,25394.9,382.5,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,4,25492.4,383.23,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,5,25260.8,382.82,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,6,25533.5,384.2,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,7,25565.2,383.97,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,8,25442.0,383.56,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,9,25416.8,383.79,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,10,25549.3,383.1,2058,32,,
