ts,gpu_edge_c,cpu_c,batt_c,fan_rpm,gpu_busy_pct,sclk,cpu_mhz_max,load1
2026-09-12T17:51:37Z,71,72,31,3997,52,1345,2424,0.59
2026-09-12T17:51:39Z,73,72,31,4006,100,1600,1735,0.59
2026-09-12T17:51:42Z,73,72,31,4120,99,1600,2425,0.54
2026-09-12T17:51:44Z,66,73,31,4185,99,1040,2426,0.54
2026-09-12T17:51:46Z,72,73,31,4232,99,1600,1594,0.50
2026-09-12T17:51:48Z,72,72,31,4242,99,1600,2424,0.50
2026-09-12T17:51:50Z,73,73,31,4232,99,1600,1702,0.50
2026-09-12T17:51:52Z,68,73,31,4232,99,1297,2424,0.46
2026-09-12T17:51:54Z,61,71,31,4261,0,200,2424,0.46
2026-09-12T17:51:56Z,59,69,31,4242,0,200,2425,0.50
2026-09-12T17:51:58Z,58,68,31,4232,0,200,2425,0.50
2026-09-12T17:52:00Z,69,68,31,4261,99,1600,1702,0.54
2026-09-12T17:52:02Z,65,71,31,4014,99,1124,2425,0.54
2026-09-12T17:52:04Z,73,71,31,4006,100,1600,1702,0.54
2026-09-12T17:52:06Z,65,72,31,4032,100,1040,2424,0.50
2026-09-12T17:52:08Z,75,73,31,4032,99,1600,1702,0.50
2026-09-12T17:52:10Z,74,73,31,4213,100,1600,1702,0.46
2026-09-12T17:52:12Z,69,74,31,4213,100,1262,2425,0.46
2026-09-12T17:52:14Z,74,73,31,4213,99,1408,1702,0.46
2026-09-12T17:52:17Z,68,74,31,4310,100,1040,2425,0.50
2026-09-12T17:52:19Z,73,74,31,4432,100,1515,1812,0.50
2026-09-12T17:52:21Z,75,74,31,4573,99,1430,1702,0.62
2026-09-12T17:52:23Z,71,75,31,4664,99,1300,2424,0.62
2026-09-12T17:52:25Z,76,74,31,4746,100,1600,1702,0.62
2026-09-12T17:52:27Z,69,75,31,4770,100,1040,2425,0.57
2026-09-12T17:52:29Z,72,75,31,4783,100,1407,2425,0.57
2026-09-12T17:52:31Z,73,75,31,4770,100,1600,1702,0.61
2026-09-12T17:52:33Z,74,75,31,4783,0,1385,2425,0.61
2026-09-12T17:52:35Z,74,75,31,4770,99,1600,1702,0.72
2026-09-12T17:52:37Z,68,75,31,4770,99,1040,2425,0.72
2026-09-12T17:52:39Z,75,75,31,4770,99,1557,1702,0.72
2026-09-12T17:52:41Z,75,75,31,4807,99,1463,1702,0.66
