server,model,pp,tg,run,server_pp_tps,server_tg_tps,prompt_tokens,eval_tokens,acceptance,draft_len
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,9,914.2,64.52,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,10,911.8,66.34,2059,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,11,913.8,65.34,2057,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,12,914.4,64.97,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,13,912.7,65.39,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,14,912.7,65.92,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,0,833.7,59.22,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,1,853.5,59.69,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,2,855.0,65.15,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,3,854.0,64.78,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,4,854.0,64.65,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,5,853.5,64.93,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,6,851.4,65.26,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,7,852.4,64.89,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,8,853.0,64.24,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,9,854.2,65.02,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,10,851.5,65.33,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,11,850.6,65.48,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,12,852.9,64.71,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,13,852.3,62.46,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,14,856.4,65.66,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,0,836.8,57.65,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,1,852.6,58.02,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,2,852.9,57.84,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,3,853.5,58.08,4107,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,4,853.2,58.18,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,5,854.3,64.62,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,6,853.7,63.77,4105,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,7,852.5,63.62,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,8,853.1,63.81,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,9,854.0,64.64,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,10,853.8,63.99,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,11,853.7,64.53,4107,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,12,855.3,64.62,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,13,854.2,63.5,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,14,854.7,64.24,4106,64,,
